2330;Onderwijsgevenden in het secundair onderwijs;docent wiskunde, informatica, docent wiskunde, docent turks, docent textiele werkvormen, docent tekenen, docent techniek, docent statistiek, docent spaans, docent scheikunde, docent scandinavische talen, docent russisch, docent portugees, docent overige talen, docent nederlands, docent natuurkunde, docent natuur-, scheikunde, docent muziekonderwijs b schoolmuziek, docent muziekonderwijs a algemene muzikale vorming, docent muziekgeschiedenis, muziekleer, docent muziek, docent management en organisatie, docent maatschappijvakken, docent maatschappijleer, docent lichamelijke oefening, docent kunstzinnige vorming, docent klassieke talen, docent italiaans, docent indonesisch, docent hongaars, docent hebreeuws, docent handvaardigheid, docent godsdienst, docent geschiedenis oude beschavingen, docent geschiedenis, docent fries, docent frans, docent filosofie, docent expressievakken, docent exacte vakken, docent euritmie, docent esperanto, docent engels, docent economische vakken, docent duits, docent drama, docent dans, docent culturele en kunstzinnige vorming (ckv), docent creatievevakken, docent ckv, docent biologie, docent beroepenoriëntatie, docent beeldende vorming, docent bedrijfseconomie, docent basiseducatie, docent aziatische talen, docent arabisch, docent algemene economie, docent aardrijkskunde;;;
2341;Onderwijsgevenden in het basisonderwijs;leraar basisonderwijs, groepsleerkracht basisonderwijs;;;
2342;Onderwijsgevenden in het voorschoolse onderwijs;leerkracht groep 1 / 2, kleuterleidster;;;
2351;Specialisten op het gebied van onderwijsmethoden;opleidingsconsulent, opleidingsadviseur, onderzoeker onderwijskunde, onderwijskundige, onderwijskundig medewerker ontwikkelen les- en cursusmateriaal, onderwijsconsulent, onderwijsadviseur, leerplanontwikkelaar, inspecteur onderwijsinspectie;;;
2352;Onderwijsgevenden speciaal onderwijs;zorgcoördinator onderwijs, remedial teacher, instructeur mobiliteit blinden, groepsleerkracht voortgezet speciaal onderwijs (vso), groepsleerkracht speciaal basisonderwijs (sbo), groepsleerkracht lwoo, pro, docent praktijkonderwijs;;;
2353;Andere taalleraren;docent onderwijs allochtone levende talen (oalt), docent nederlands als tweede taal;;;
2354;Andere muziekleraren;docent zang, docent viool, docent piano, docent klarinet, docent keyboard, docent gitaar;;;
2355;Andere kunstleraren;educatief medewerker theater, dramadocent (particulier), docent schilderen (particulier), docent beeldhouwen (particulier), dansleraar dansschool;;;
2356;Opleiders informatietechnologie;trainer softwarepakketten, trainer software, praktijkopleider, trainer informatica, docent it-vakken;;;
2359;Onderwijsgevenden, niet elders geclassificeerd;tutor, studiebegeleider, studieadviseur / studentendecaan, studentendecaan, studentenbegeleider, stagebegeleider, schoolkeuzeadviseur, schooldecaan, schoolbegeleider, opleidingscoördinator, opleidingsadviseur cursusinstituut, onderwijscoördinator, mentor, leider vormingscentrum, leerlingbegeleider avo, intern begeleider, educatiemedewerker jeugdhulpverlening, decaan voortgezet onderwijs, cursuscoördinator, cursistenbegeleider, coördinator schoolbegeleidingsdienst, coördinator onderwijsinstelling, consulent landelijk orgaan beroepsonderwijs;;;
